用户名,ID,问题,问题链接,评论,时间,回答链接
"胖老沈","pang-lao-chen-68","巴勒斯坦赢得这次冲突的可能性有多大？","https://www.zhihu.com/question/625389444","几乎未零。  可以预见，继俄乌冲突重注俄罗斯之后，我方将又一次押错宝。","2023-10-16 15:40","https://www.zhihu.com/question/625389444/answer/3252012388"
"普通人士","pu-tong-ren-shi-22","加沙某医院遭以色列空袭，据称至少500人死亡，大家如何看待此事？","https://www.zhihu.com/question/626637904","那些口口声声说质疑哈马斯就是给以色列洗地的,能不能先解释一下，哈马斯是怎么给医院洗地的?拥挤的医院,混乱的组织,漆黑的环境,恐慌的人群，一千多死伤从半夜到凌晨,没留下一具尸首，一块残骰，一处血迹如此高效的清理,却拿不出哪怕一百具证据来开个发布会以色列的炸弹能把人送去二次元~?","2023-10-19 00:18","https://www.zhihu.com/question/626637904/answer/3255420554"
"qanjuju","qanjuiu","为什么这么多人讨厌以色列？","https://www.zhihu.com/question/301813430","“以色列对巴基斯坦平民的屠杀还少吗？”当然少，几乎没有。贝鲁特里没有巴基斯坦人被杀，只有巴勒斯坦侵略者被黎巴嫩人民围歼。祝贺黎巴嫩保家卫国取得贝鲁特大捷。长枪党是黎巴嫩人，人家在自已的土地上杀外国侵略者，没毛病。如果这样不可以，那么巴勒斯坦有什么资格指责以色列侵略呢？所谓杰宁难民营屠杀，死了几十个人，大多数还是恐怖分子，给吹成了三千，联合国调查后此谎言破产。当然，巴勒斯坦戏精们就靠卖惨来骗同情骗援助过活了。   说在摄像机面前，以军的克制是作秀，那么为什么巴勒斯坦人不作秀呢？巴勒斯坦人在摄像机面前都懒得克制，证明他们平时是多么地凶残。事实上也是如此，巴勒斯坦不攻击平民吗？众所周知他们最喜欢杀害平民。所以机枪扫射巴勒斯坦平民也不算过分，这是公平。你做帝初一，我做十五。何况以色列没这么做，否则巴勒斯坦妇女儿童肉盾哪有这么嚣张。   说恐怖袭击是犹太人发明的，那又怎么样。锯子还鲁班发明的，电锯狂人还能怪到鲁班头上？巴勒斯坦敢在以色列面前班门弄斧，可见以色列鲁班们多么克制。如果以色列象巴勒斯坦一样放开了屠杀，哪有这些戏精的表演空间？ / 我把你打出去了，你的房子赔给我，我还给你留了一小间，我比你更加文明一点点。 / 对于侵占自己家园的侵略者，被侵者连反抗的权力都没有了？黎巴嫩人民在自已的国土上消灭巴勒斯坦侵略者，有什么问题。  如果巴勒斯坦有同样的能力，他们的口号已经喊出来了，要把以色列赶下海。现在以色列没有把巴勒斯坦扔进海里，比巴勒斯坦客气多了。  为什么要问半个世纪前？为什么历史必须停留在半个世纪前？你要倒退，为什么不退到阿拉伯在这地方出现之前？要说侵占，中东以外的阿拉伯人全是侵占者，缅甸 消灭罗兴亚人，是反侵占吧。 / 抗日剧里的龟田小队长的广岛家人被美军杀光了，有十万妇女儿童殉葬。被沙龙宰杀的八十多名手无寸铁的恐怖主义子宫生产线就是广岛人的角色 / 白左媒吧？它们也是这么报道我们的  如何看待BBC在无证据的情况下，称「大量维吾尔族女性遭到了集体性侵和酷刑」？ / 阿拉伯人被杀也不是没理由的。 / 那些孩子为什么要打那辆坦克，因为他们知道坦克不会开火，砸坦克安全。作秀而已。巴勒斯坦人也跟约旦军队黎巴嫩军队作战过，从来不敢派儿童去砸坦克的。。","2018-12-21","https://www.zhihu.com/question/301813430/answer/556332371"
"美夕","qing-er-19-28","为什么这么多人讨厌以色列？","https://www.zhihu.com/question/301813430","以色列永存 / 無論現代還是古代(>_<) / 不會 / 好可怕 / 哪有那麼多如果? / (>_<) / 與你無關 / 沒有呀 / 你的名字嚇了我一跳(>_<)，我奇怪已經註銷的用戶怎麼還能回復呢 / ╮(╯▽╰)╭","2018-12-14","https://www.zhihu.com/question/301813430/answer/1889628495"
"realmadrid","realmadrid-93","一句话，以色列是不是侵略？","https://www.zhihu.com/question/625438724","你从哪听来的以色列全民皆兵，以色列官方宣布的吗","2023-10-13","https://www.zhihu.com/question/625438724/answer/3247249037"
"王连成知乎姜太公","ren-jian-chu-shi-ren","为什么这么多人讨厌以色列？","https://www.zhihu.com/question/301813430","马云都是这么干的 / 别带有色眼睛看资本家，你的韭菜早就被国内资本割完了 / 资本家们夺取利益的手段都是一样的，马云是利用地域信息的欠缺，进行商务买卖，淘宝，京东，还有拼多多都是这么做的 / 知道为什么你只敢怼以色列，而且还是用键盘，却不敢怼国内资本家吗？因为民族主义，让你们更容易恨别人，却不敢面对自己国家压榨你们的阶级，而压榨你们阶级也希望你们矛盾外移，仇视着跟你八竿子打不到一块儿，隔千山万水的敌人，实际上你们就是一群被整体的自己人割完了韭菜，却容不得国际上的别人割整体的韭菜，帮助整体声讨整体之外的资本，继续供养着整体内的资本，任劳任怨 / 实际上还是你们没用啊！这就是最底层人的悲哀","2020-07-23","https://www.zhihu.com/question/301813430/answer/556332371"
"男神老蒋","shi-zheng-rong-65","以色列和巴勒斯坦谁是正义？","https://www.zhihu.com/question/625575254","那必须巴勒斯坦是正义的  日本，美国，欧洲都邪恶的。只要发达的，有钱的，都是邪恶的  朝鲜，阿富汗，伊朗才是人类的未来。  ------------------------------分割线-----------------------------  看到大家这么热情，那我再来补充一点吧。  仅占世界人口0.2%的犹太人，领走了23%的诺贝尔奖。  已颁发的802项诺贝尔奖中，162个奖项属于犹太人。  爱因斯坦，毕加索，卓别林，弗洛伊德，莫扎特，基辛格，马克思，都是犹太人。  谷歌，Meta，OpenAI，创始人都是犹太人。  新一轮人工智能也是犹太人在引领的。  反而是伊斯兰世界，贡献了世界上90%以上的恐怖袭击。  就像我评论区的某人说，强即真理。  是的，所以我庆幸，掌握真理的是强大的一方。恐怖分子是弱的一方。  不然，这个世界是地狱吧!","2023-10-20 16:14","https://www.zhihu.com/question/625575254/answer/3253261352"
"硕鼠","shuo-shu-44-10","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","跟以色列的贸易往来，以及学术交流，都是有名有姓的。哪位跟巴勒斯坦有实质性的交流，请站出来？","2023-01-04 17:17","https://www.zhihu.com/question/459470265/answer/2829513426"
"桃花石","tao-hua-shi-45","为何以色列无法容忍巴勒斯坦建国？","https://www.zhihu.com/question/327003589","问反了吧，正确的问题是“为什么阿拉伯国家无法容忍以色列建国？”  联合国几次提出巴以共存的方案，以色列都接受了，是阿拉伯国家不接受。以色列提出让巴勒斯坦建国的方案，阿拉伯国家也不接受。阿拉伯国家不与以色列和平共处，不承认以色列，不与以色列谈判……这都怪以色列？","2019-06-28 20:44","https://www.zhihu.com/question/327003589/answer/731202591"
"辽沈精神康复中心","timruning","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","这种摆拍视频就能决定你的价值倾向😂 / 左不左右我，我只看事实。事实就是哈马斯在不断牺牲巴勒斯坦人民的生命达成他的zz目的。 一个只能攻击平民，然后祈求自己平民用生命庇护的武装组织。 / 你统计了？ / 地图只能说明以色列消灭的敌对武装比哈马斯多。不能说明谁杀死的平民多。 / 你认为我偏向以色列的观点走哪里来的？ / 你问题的前设条件就无从谈起，我怎么直接回答？","2021-05-24","https://www.zhihu.com/question/459470265/answer/1899079678"
"一剑穿心2000","usebus","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","上帝视角来看，以色列赢可以精简冗余机构，提物种平均质量","2021-05-19","https://www.zhihu.com/question/459470265/answer/1892990685"
"知乎聊人生","wjf7478","简单点：你支持以色列还是巴勒斯坦？","https://www.zhihu.com/question/626411350","凡是对中国帮助多的国家和个人，我就应该支持，反之亦然，凡是强占强抢中国的，我就反对，其他国家，当一般关系相处吧。  回到你说的问题，我代表自己和部分国人，支持帮助中国的以色列用适当不过分的行为保卫国家和人民。","2023-10-17 13:16","https://www.zhihu.com/question/626411350/answer/3253217723"
"雪山之巅","xue-shan-zhi-dian-69-46","一句话，以色列是不是侵略？","https://www.zhihu.com/question/625438724","不是哈马斯火箭弹轰炸以色列吗？以色列屠杀谁？用肉体屠杀哈马斯的火箭弹是吧？ / 不联合国划的么？联合国屠杀出来的？ / 联合国划的地巴勒斯坦不同意，纠集周边一堆阿拉伯国家用军事手段要把人家灭了，巴勒斯坦既不尊重联合国的划界，也没把以色列放在眼里。现在打不过被以色列反推，想起来拿出联合国划界控诉以色列侵略？[惊喜]无耻 / 哈马斯明知以色列会报复还要这么做，为什么不知道，但有一点可以确定，就是哈马斯没把普通巴勒斯坦人的人命放在眼里 / 那你的意思是以色列请哈马斯用火箭弹打自己？也没问题，无论如何，哈马斯不是东西 / 不反对反抗，谁反对反抗了？现在反抗的难道不是以色列吗？。","2023-10-14","https://www.zhihu.com/question/625438724/answer/3244268221"
"但为君故","yi-bai-sheng-xue","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","年轻的时候支持巴勒斯坦，因为那时候以为自己看到的报道都是站在公正的立场。当知道了两个国家更多的历史，毫无疑问应该支持以色列。","2023-10-08","https://www.zhihu.com/question/459470265/answer/1897224131"
"鱼会飞","yu-hui-fei-46","以防长称正对加沙发起全面进攻，「加沙永远不会回到原来的样子」，如何看待这一言论？巴以双方将面临什么？","https://www.zhihu.com/question/625613689","整个加沙都是以色列从埃及的军事占领下收复之后再还给巴勒斯坦的[飙泪笑] / 谁是“侵略者”？？？  巴勒斯坦阿拉伯人先动手入侵以色列，妥妥的“侵略者”  结果加沙被埃及军事占领，约旦河西岸被约旦吞并，巴勒斯坦一块地方都没有的时候，是以色列不计前嫌，发义兵 在约旦宣布吞并约旦河西岸之后，击败约旦，从约旦手里获得了约旦河西岸，同时发义兵击败军事占领加沙的埃及，夺回了加沙，并将加沙和约旦河西岸一部分还给巴勒斯坦，但是巴勒斯坦虽然被埃及抢了加沙被约旦抢了约旦河西岸，以色列好心帮忙抢了一部分回来还给巴勒斯坦，巴勒斯坦不但不领情，还把帮忙抢回来的好心人当仇人呢。 / 加沙被埃及军事占领，约旦河西岸被约旦吞并，巴勒斯坦一块地方都没有的时候，  是谁发兵 在约旦宣布吞并约旦河西岸之后，击败约旦，从约旦手里获得了约旦河西岸，又发兵击败军事占领加沙的埃及，夺回了加沙，后来又将加沙和约旦河西岸一部分还给巴勒斯坦啊？你说说呗。  但是巴勒斯坦虽然被埃及抢了加沙被约旦抢了约旦河西岸，以色列好心帮忙抢了一部分回来还给巴勒斯坦，巴勒斯坦不但不领情，还把帮忙把加沙和约旦河西岸抢回来的好心人当仇人呢。 / 加沙被埃及军事占领，约旦河西岸被约旦吞并，巴勒斯坦一块地方都没有的时候，是谁发兵 在约旦宣布吞并约旦河西岸之后，击败约旦，从约旦手里获得了约旦河西岸，又发兵击败军事占领加沙的埃及，夺回了加沙，后来又将加沙和约旦河西岸一部分还给巴勒斯坦啊？你说说呗。   但是巴勒斯坦虽然被埃及抢了加沙被约旦抢了约旦河西岸，以色列好心帮忙抢了一部分回来还给巴勒斯坦，巴勒斯坦不但不领情，还把帮忙把加沙和约旦河西岸抢回来的好心人当仇人呢。 / 说起来还是苏联功劳大，如果不是苏联从国内拉了好几万经历过二战的犹太裔老兵过去参战，还真不一定。 / 巴勒斯坦的地？   这块地方，“自古以来”什么时候曾经是巴勒斯坦阿拉伯人的？  181决议的时候是联合国属地，之前是英国佬的委任统治地，英国人之前是奥斯曼的，奥斯曼之前是萨拉丁库尔德人的，库尔德人之前是狮心查理十字军的，十字军之前是塞尔柱的，塞尔柱之前是白衣大食的，大食之前是波斯的，波斯之前是拜占庭的，拜占庭之前是罗马的，罗马之前是犹太人（以色列）的。   巴勒斯他那块地方的产权沿革很明确，几百年以来，先是属于奥斯曼，奥斯曼一战战败，把巴勒斯坦交给了英国，英国因为一战时阿拉伯人的贡献，把巴勒斯坦的一部分拿出来给阿拉伯人建立了独立的阿拉伯国家---外约旦，剩下的一部分英国佬决定在1948年分给犹太人和阿拉伯人各一部分。  如果巴勒斯坦的阿拉伯人敢于在奥斯曼时期或者英国治下，奋起反抗，争取到了民族主权独立，那么他们可以拥有那块土地的产权，可惜阿拉伯人面对奥斯曼的马刀和大不列颠的战车，在奥斯曼时期自称奥斯曼的臣仆，在英帝国时期甘当顺民，也就是说，巴勒斯坦的阿拉伯人几百年来从来不曾获得那块土地的产权，顶多算是个佃户或者租户。业主决定转让产权，还必须得白送给佃户或者租户？  先施暴的一方，自己后来打输了，就能自动转换身份摇身一变成为“受害者”么？？？  阿拉伯人可以选择挑起战争的时间和地点  以色列人有权选择结束战争的时间和地点  有什么问题？","2023-10-11","https://www.zhihu.com/question/625613689/answer/3245587025"
"多情应笑","yu-yuan-jie-94","以巴冲突，为何这次我国没撤侨呢？","https://www.zhihu.com/question/626395695","以色列做不做得出来我不知道，但我知道哈马斯现在就扣了几百个，包括第三国的人[尴尬] / 看看新闻，小同志 / 关键词 哈马斯 威胁 杀死人质。  一搜一大堆[尴尬]  你不动手只动嘴很难办事啊 / 那么到底哈马斯有没有扣人质呀[惊喜] / 随手一搜的事。  搜完记得回来吱一声 / 你的回复被删了。  但凡你去搜了一下，也知道其实是“你不知”","2023-10-18 23","https://www.zhihu.com/question/626395695/answer/3252491287"
"圆圈匪徒","yuan-quan-fei-tu-86","简单点：你支持以色列还是巴勒斯坦？","https://www.zhihu.com/question/626411350","以色列 当然支持以色列  要有多恐怖 才会支持恐怖分子  永远站在文明这边","2023-10-21 23:16","https://www.zhihu.com/question/626411350/answer/3259241237"
"乔木","zhong-zai-xian-hu","以色列和巴勒斯坦谁是正义？","https://www.zhihu.com/question/625575254","无论是法理上，还是历史渊源，还是按中国人常说的“自古就是……领土。以色列人都是巴勒斯坦地区当之无愧的的主人。  翻开历史，犹太人公元前13世纪就来到这片上帝的“应许之地”迦南生活，超过1400年。作为上帝的选民，巴勒斯坦也成为犹太人的圣地。  而阿拉伯人是在公元七世纪开始涌入巴勒斯坦地区的，并和当地人融合形成了巴勒斯坦人。因此犹太人的居住历史要比巴勒斯坦人早了两千年。  巴勒斯坦过去一直只是个地理概念 ，这个地区没有国家的建立。  直到1947年，联合国要在巴勒斯坦地区建立一个巴勒斯坦国和一个以色列国。以色列国依据联合国巴以分治协议于次年1948年正式成立。而巴勒斯坦一直忙着武装斗争迟迟没有建国，一直耗到1988才成立了巴勒斯坦国。  巴勒斯坦迟迟不建国原因就是阿拉伯人一直拒绝服从联合国的分治决议，一心想赶走以色列独占巴勒斯坦这块地区。此后纠集22个阿拉伯国家，发起五次中东战争，想把以色列人赶下海。无奈阿拉伯人能力，智力，实力都不在线，最后被以色列团灭。阿拉伯人每打一次仗地盘就少一块，可谓是偷鸡不成蚀把米。虽屡战屡败，但阿拉伯人痴心不改。  巴解组织法塔赫后来看明白了，和以色列叫板无异于鸡蛋碰石头。与其越打越穷，领土越打越少，不如承认以色列，和平相处过安生日子。  但哈马斯等激进组织不干。他们坚定的相信主和他们站在一起，有真主的加持足以对抗以色列的飞机大跑。只要坚持不断的抵抗，赶走以色列只是时间问题。加上背后有伊朗的资金支持，激进组织经常搞出恐怖袭击事件吸引世界的眼球，并博得一些和哈马斯同等智商的二比青年的支持。  综上所述，你还认为是以色列占领巴勒斯坦领土吗？巴勒斯坦人的苦难是以色列人造成的吗？  别管主流媒体怎么喷，但凡智商不是负数的人都能分辨出巴勒斯坦和以色列谁是正义的！","2023-10-22 15:16","https://www.zhihu.com/question/625575254/answer/3259831069"
