用户名,ID,问题,问题链接,评论,时间,回答链接
"缺氧乖张","que-yang-guai-zhang-38","郑州一罕见病患者称在一单位喝水受歧视，保安将其喝过的桶装水倒掉浇树，具体情况如何？该行为是否涉及歧视？","https://www.zhihu.com/question/617575539","sma又不会传染，这不是歧视什么是歧视？","2023-08-17 08","https://www.zhihu.com/answer/3168769559"
"小叮当种草屋","ray-japan","甘肃地震目前最缺御寒和女性物资，还有哪些问题需要关注？","https://www.zhihu.com/question/635612490","动车上卖卫生巾不行吗？损害你利益了？","2023-12-20 10","https://www.zhihu.com/question/635612490/answer/3331732062"
"宇文亮","san-diao-san-bu-san-chong-jing","无人机真的是中国领先吗？","https://www.zhihu.com/question/266464380","“领先不领先的有什么关系”   关系就是一卡脖子就翻白眼。","2023-02-19","https://www.zhihu.com/question/266464380/answer/2895652931"
"Field James","tian-jian-yu-92","是谁设置了u盘独个文件不可以超过3gb或者4gb这种应该被判刑的设定？","https://www.zhihu.com/question/523434657","本人曾用闪迪的蓝色弹出系列。海涛都要三四百一个，拷贝文件甭管十个g还是几十个g，不超过他的256g都能拷进去。n现在手头上一个公司赠送顾客的盘，一个在猪王那里买电脑送的u盘，都只有十六个g的容量，但是拷贝个大于4g的东西都不行，都受限制。n网上有教程说是格式化之后就好了。但是格式化之后我的原先的文件不就没了吗？很多时候我也找不到其他的地方来暂时搬运我的文件，来让u盘格式化。更何况，万一我是256的u盘，很多电脑的容量都还不能让我暂时搬运以格式化呢，对不对。就算可以，那我得浪费多少时间啊，TMD。你们可以理解这其中要等多久吧，本来应该很迅速的事情。n想到这里，我就想给那些个设置u盘文件不得超过4gb的人判个无期徒刑，人渣。n你们可以理解我的心情吧？n现在问题来了，是什么样的一帮人，为什么要给u盘上这个锁呢？n为什么我海淘的高级u盘就没这个限制呢？","2022-03-22 15:08:48"
"请多一点幸运","tian-zhou-37-35","把引起公愤的女生逼到退学了，这种行为正确吗？","https://www.zhihu.com/question/612127674","高一的时候有一个女生，第一眼给人的感觉就是畏畏缩缩的，我一开始不知道她的事情，但是我当和她一个班，坐在她后面，我没太在意，但是坐了一会儿，我突然闻到了一股臭味，很刺鼻，像臭鸡蛋和粪便的味道，我就开始怀疑是不是上面的女生放的，但是我在想她可能拉肚子或者肠胃不好，就没在意，但是过了一会儿又闻到了那种味道n因为同桌也闻到了，他小声说了一句“两个哈哈哈”我也忍不住笑了，但是很小声，前面的女生好像听见了，身体有一瞬间紧绷，我就单纯以为是拉肚子，肠胃不好，之后就没在意了，但是自从坐在那个女生后面之后，一直能闻到一股臭味，每天每节课都能闻到，也不是连续的，就隔着几分钟或者十几分钟，那味道闻着我直想吐，但又不好意思跟她说，过了几天，那个女生转身给了我一张纸条，大概意思是她也不知道为什么会这样，连续放屁，她从初二就有这种情况，不敢和她爸妈说，初中毕业过了一段假期以为好了，上了高中还是这样，在纸条中跟我道歉并且会叫爸妈带她去看病，我看了纸条也短暂理解了她，但是过了一个月多，她还是这样，我就忍不住了，开始在宿舍吐槽，后来换了位置，她坐在了后门那里，还是会放，那种味道左邻右舍都能飘过去，我当时已经远离她了，也没太注意她。n过了一两个月又放换了座位，她好巧不巧换到了最上面，之后也是一直放，真的忍不了，每天都要闻那种极恶心的味道，她后面的男生开始在班里男生里传，班里男生都知道了，但是也没说什么，就这样过了一个学期n高一下学期开学的时候，我们以为她已经好了，也不太把上学期她的事情放在心上，但是她还是这样，我们就忍不了，她一放我们男生就明里暗里的内涵她，之前有过委婉提醒她上厕所，但是她装作没听见一样，后面我们就不客气了，联合其他男生骂她，她有几次坐在女生后面，那几个女生受不了，也话里话外的内涵她，好巧不巧是她宿舍的，我听那几个女生说她们晚上每当她躺下就会聚在一起骂她，嘲讽她，但是她没什么动静，假装听不见一样。这样持续了一个星期。n虽说我们这样，但是她还是一直放，我们变本加厉的内涵她，嘲讽她，她陆陆续续的请假，理由是肚子疼，但是我知道是她放的时候，我联合男生在嘲笑谩骂她，她好像受不了，明明是她不对，还搞得像受害者一样，不过请假回来还真带了药回来，吃了一个星期，但是放还是一样放。n一次几个班聚在一起的时候，没有人坐在她后面，我知道她考试的时候也会放，然后高中经常有考试，其他班也有一些人知道她，这次几个班聚在一起，有些人认识她，就开始在本班传她的事情，其中有她的初中同学，他们说她初中也是这样，我听说她初中成绩还不错，然后越传越广，很多人知道她的事情都在骂她笑她，她还是假装没听见一样，像木头一样，那几天很热闹，都是在骂她的，有人还叫她去死，但是我听了只觉得痛快，是她活该。n高二分班了，她好像去跟老师说了什么，一直坐在了最后面，但是她放的屁非常厉害，左右都能传很远，当时班里没一个不知道她的，每天只要她一放就会被骂，内涵，随着时间过去，这个时候全校差不多都传遍了她的事情，每天都能听到骂她嘲讽她的声音，她还是一副听不见的样子，哪怕有些人骂非常过分的话，我就想这人这么能忍，不会以为自己很帅吧，其实就是一个傻B，那时候学校里的人都把她比喻成各种动物n她那个班里的人都不喜欢她，全班孤立她，只要她放屁就会谩骂她，后面即使她有时候没有放，但是为了让她不要放，还是会不断的骂她，她好像还难受起来了，请假又找老班，老班话里话外的让我们团结有爱，呵呵，真的很好笑，但是有些女生就假装和她说话和她玩，其实背地里都能骂死她，不光我们班，其他班其他年级的也会一起联合去骂她，从她各个方面去挑刺，去骂，后面我们越来越烦她，还是这样一直放，就用其他手段对付她，其他班有时候趁着她没看到，就会拍她的照片传给其他学校的人，还有他们的家里人，越来越多人拍照，有的人还想打她，我听其他人说她把别人拍照，想打她，骂她的事情一股脑告诉了老师，这种行为真的很见，但是后面几次她也不找了，开始频繁的请假，嘴里嚷嚷着什么要休学之类的，我们听见了巴不得她走。n我听说其他人把她家的地址都知道了，家里人也都拍了照片，她被学校的人叫校外的人去到她家楼下去骂，周围邻居好像也知道，也在骂她，说实话这都是她活该，后面她请了一段时间假，临近考试的时候向老师申请了退学，我只想拍手叫好，这种人不应该活在世上。n这就是大概经过，不知道对不对，但是她这种行为真的很令人讨厌。","2023-07-14 17:21:51"
"typename T","typename-t","为什么大学c语言课不顺便教一下Linux，Makefile，git，gdb等配套工具链呢?","https://www.zhihu.com/question/576758408","你举个例子，哪家大厂码农还用c？[尴尬]","2023-08-12","https://www.zhihu.com/answer/2834522648"
"万年坑","wan-nian-keng","如何看待河南都市报道曝出「开封医生在手术前向家属索要3000元现金请专家」？","https://www.zhihu.com/question/619608094","具体案例的话！这个所谓的专家是否值3000？这个手术是否值得飞刀？","2023-08-31 10","https://www.zhihu.com/answer/3187146024"
"抗蠕奇侠","wei-liao-ni-50-51","无人机真的是中国领先吗？","https://www.zhihu.com/question/266464380","只要没有说无人机世界第一你就矫情成这样了? / 答主跟你有多大仇啊，那么攻击人家。 / 人家好歹对这项技术是有信心的，他都说了无人机技术已经发展很好了，你就那么容不得一点别的意见? / 他都说了无人机技术已经发展很好了，说明他还是有信心的，只是没有说自己世界第一你就那么大的戾气?容不得一点别的意见?","2023-03-07","https://www.zhihu.com/question/266464380/answer/2895652931"
"葳蕤自生光","wei-rui-zi-sheng-guang-12","无人机真的是中国领先吗？","https://www.zhihu.com/question/266464380","很遗憾，很明显不是。  我作为无人机行业的从业者，非常清楚的知道，当今国内的无人机技术，大多数都是借鉴的国外（漂亮国占大多数）。如果国外有相关创新了，那么国内迅速跟上，然后在其基础上进行“二次创作”。所以，我们并不能称为技术领先者，因为很多技术国外都能查到。  当然，中国无人机技术发展已经很好了。在相关技术的基础上借鉴，然后创新，最后领先，也是一条独立自主的道路，而且很适合我们。因为我们是讲实用的，别人已经有探索经验了，那么我们知道这条技术路线可以走，就踏踏实实干下去，能减少很多挫折。  领先不领先的有什么关系，能用而且好用就行了呗。 / 干货？？？如果是相关技术，那不能告诉你。 / 我觉得不能写出来。但是可以面对面交流 / 真不行。你相信我。 / 哈哈。那咱俩同行。 / 卖的多就是领先？ / 涉密 / 不是的。跟他开玩笑呢。 / 这个，不能一概而论。 / 先保持 充满希望 的态度。其他的，心里明白就行。[微笑] / 哪儿不行了？？？你稍微留意一下，就能发现咱们的无人机这两年发展很快的。 / 所以 吾辈当自强 / 那请原谅。有些内容不可说 / 你带着这样的态度还怎么学术交流，这应该是一个正常平等的知识层面的切磋。 / 这个你可以来我这交流 / 嗯，学识浅薄，还需要多跟你请教学习[赞] / 嗯。普通打工人。还需要多努力，多学习。 / 一点也不傻，人知道应该卖啥，应该怎么做 / 是啊，所以我说我们其实已经做的很好了。只不过大疆那些民用无人机，说句不好听的，都是玩具啊。 / [惊讶][惊讶][惊讶]我的意思是，这些东西在技术上不是什么难点，是已经有然后发展成熟的东西。哪怕用来照明，撒农药，不也是一种“玩”么。应用场景其实很有限（我没说没用哈，肯定某些场合是非常好用的） / 我也没说人不好啊[流泪]大疆已经发展的很棒了，可是这个问题是在说技术领不领先。大疆的技术不也是借鉴，然后自己发展成熟的么，没跑题啊 / 我说它玩具的意思就是用来玩，娱乐为主。有些工具化应用，不也是一种“玩”的态度么。当然我的本意还是说已经发展的很好了。 / 是啊，所以发展的挺好的。土耳其救灾时候无人机使用情况我还写过汇报呢。在民用领域，我认为大部分场合摆脱不了“玩”的属性。是有一些有限的应用，但考虑到成本，更多还是在军用领域。 / 我个人的观点已经写出来了啊。就是在借鉴的基础上进行自我提升。你要是指相关技术，那我很遗憾，只能自己去探索了，说不得。 / [好奇]你指的军用领域，乌克兰战场用的我们的无人机也只是符合能用且好用。我说的玩具是民用领域。 / 大疆牛逼啊。我说了啊，我们的无人机发展已经很好了。可是技术上来说，纯是玩具。 / 是的。不过喷漆的技术，我们也只能说发展的很好，很难说是领先。 / 航拍应该都知道，另一个就是送货。其他的用于农业和电力巡检的也有。 / 那些技术又不是难点，国外都有。用的贵跟技术领先是两码事 / 卖的好，只能说明市场比较好。跟这个问题说的，技术领先是两码事 / 法国有个派若特，也差不多。我们大疆卖的多，这个是市场问题，我们用工成本，制造成本比较低，所以价格实惠。这是我们的国情，独一无二的。其他国家就做不到，只是技术没问题，但相对成本高得多。 / 你是觉得它哪个功能比较差？我同事觉着用着还相当凑合 / 应该不是。我下周去看看。 / 所以你得出了什么结论？这些热门的帖子我已经看到了，大疆在全球的出货量数据网上也有，跟技术领先有关系吗！？越拿大疆举例越是可笑 / [流泪][流泪][流泪]不是，大疆很强，我说一百遍了。不过，大疆的技术并不难，零件产品有的也依赖国外。所以，提大疆干什么呢老是。看看国内外的其他类型无人机，都比较一下不行么 / 国货哪儿不行了？！我们的产品现在做的已经相当不错了。国际上当然有外国货，卖不卖你是个问题。 / [好奇][好奇][好奇]三重积分这个我真不知道。后面那个想象一下弓箭就行了，气动中心位于重心后，静稳定，位于重心前，静不稳定。 / [好奇]请你看看问题问的是啥？我的回答在这个问题下面，有啥问题吗？你还想得到啥答案 / 。。。我可能表达有问题，让你误解了。 / 不是，我们是借鉴别人的技术。[小情绪] / 哪个？？？你指的是 / 每一项。 / 正视差距，才能迎头赶上。评论里总是拿大疆说事。可是大疆卖的多就是技术领先？？？大疆的零部件及控制架构很多并非产自其手。大疆这种产品人其他国家也不是做不出来。但是我们优在市场大，成本低，所以相对利润较大，卖的好。但卖的好跟技术领先是两码事。 / 消费者觉着它价格合适，好用（就是最后那句话，能用且好用）但它本身的技术属性并不复杂 / 肯定不落后， / 本来就不落后","2023-02-16 10:19","https://www.zhihu.com/question/266464380/answer/2895652931"
"没啥特别的","wo-de-tian-na-30-41","郑州一罕见病患者称在一单位喝水受歧视，保安将其喝过的桶装水倒掉浇树，具体情况如何？该行为是否涉及歧视？","https://www.zhihu.com/question/617575539","没看到描述上说周围没有卖水的吗？谁他妈知道这个单位周围一个卖水的地方都没有啊？ / 真搞笑。就因为说的话不跟主流观点一致就丢脸了？","2023-08-17 08:40","https://www.zhihu.com/answer/3169035611"
"学无止境","xue-wu-zhi-jing-32-5","无人机真的是中国领先吗？","https://www.zhihu.com/question/266464380","说的很明白了，就是一个抄袭，只能跟着别人走。 / 什么时候能发明东西再说其他吧！我本人搞过三年研发，所见所闻触目惊心，全是水论文、骗经费、糊弄股民。 / 抄袭苹果的手机多了，全被吹成自主研发。 / 大疆不用抄袭，军用哪？看外形，全按人家的设计。 / 关键就是外形，外形决定着气动布局。 / 大家都抄袭经典外形而已。 / c919只是制造，再别人基础上复制而已，真正的发明是从无到有。 / 无人机最尴尬，外型基本都能找到原型。 / 把抄袭解释的这么清新脱俗，是个人才 / 四轮马车不是中国发明的，古代中国一直是二轮。 / 懂不懂气动外形? / 鸿蒙无人机。 / c919不简单，但也是工程技术问题而不是发明创新。 / 看不惯。 / 还是一个字“抄”，抄作业永远成不了学霸，一些隐秘技术永远抄不来，而且抄袭会受到知识产权的制约，造的再多也是给别人打工。 / 中国的人均GDP只达到世界平均水平，当年巴西甚至高于这个水平，可惜没啥技术迅速没落。 / 不要以为摸着石头过河是空话，去设备制造厂看看他们有没有抄袭就知道了。没在制造业干过的人根本不了解情况，连标准都是抄别人的，更何况产品。当然现在有了一些研发性公司如华为等，但是对于整个中国远远不够。 / 巴西的航空技术也很好，看看c919有巴西的零件，但是远远不够，单项技术不够大国崛起。 / 而且你说的这些完全是价格战造成的，摊薄自己的利润抢占市场，没有足够的利润搞研发很容易突然破产，国内企业寿命短就是这个原因，太容易被替代了。 / 你研发出来的啥，让我见识一下。 / 请问你搞出了什么成果? / 二次元就不要在工业领域评论了，我现在是工程师，你怕是还没出校门吧！ / 我现实接触到的:林肯的焊机，美国的喷涂黄金的设备，国外油漆配方，风机的设计，各种山寨软件…… / 我参与过NB标准评审，评审专家就看美标怎么写，我们必须一样才行。 / 等你了解工业再评论好吧！ / 一个厂家的焊机完全山寨林肯，甚至没搞懂人家的设计原理，别人用铝接头他也用，问他们为啥不用铜的，居然回一句按照林肯制造的，他们就是铝的。 / 二次元没惹我，但是学生一般没有工作经验，不了解工业现状。 / 看看自己实验的设备是国产还是进口的? / 你读大专时在研发吗? / 请问你，有啥创新项目，工业产值多少? / 会不会也是水论文的一员? / 还在说祖宗阔过。 / 055，j20有一样设计是我国发明的吗？ / 你研发了什么？","2023-02-23","https://www.zhihu.com/question/266464380/answer/2895652931"
"寻章摘句小雕虫","xun-zhang-zhai-ju-xiao-diao-chong","昨天我们这里一个十三岁的女孩跳楼了，为什么现在的年轻人心里承受能力如此差？","https://www.zhihu.com/question/619981295","","2023-08-31 12:50:42",""
"幸福人生中国","yi-qian-jiao-xiao-ming","有哪些让你感动至落泪的照片？","https://www.zhihu.com/question/61028170","呵呵 汶川512这是519","2017-06-15","https://www.zhihu.com/answer/183702923"
"袁玺","yuan-xi-52-10","有哪些你看一眼就终生不能忘的恐怖图片？","https://www.zhihu.com/question/41697934","没事要什么二胎？n这不是给自己找罪受？","2023-07-02","https://www.zhihu.com/answer/3077399772"
"张本人","zhu-zhe-qin-37","郑州一罕见病患者称在一单位喝水受歧视，保安将其喝过的桶装水倒掉浇树，具体情况如何？该行为是否涉及歧视？","https://www.zhihu.com/question/617575539","觉得被歧视不是一件大事吗？现在每个人的尊严可以随意践踏吗？","2023-08-17 08","https://www.zhihu.com/answer/3168769559"
