用户名,ID,问题,问题链接,评论,时间,回答链接
"不逆","evliu","大连工业大学在官网发布拟开除学生李欣莳的公告，明确列出其姓名及具体行为，是否侵犯学生隐私？合法吗？","https://www.zhihu.com/question/1927815577105298443","去年因为嫖娼 今天可以因为出轨 明天可以因为未婚同居  后天可以因为纹身，说脏话，乱扔垃圾……  只要不符合学生行为规范，只要超出大众认知一般公序良俗，只要影响够大，都可由学校自主评判是否开除你  学校行使权力需要一个机构进行监督","2025-07-14 08:31","https://www.zhihu.com/question/1927815577105298443/answer/1928008748254861202"
"三车之眼","guang-nian-shi-shi-jian-dan-wei-28","女生出轨外国电竞选手拟遭学校开除，学校的做法合理吗？学校职责的边界在哪里？","https://www.zhihu.com/question/1927742141112738034","三流大学的校规是这样的，不知道知乎用户有几个能不被开除。作为对比，放出一份不弱智的校规作为对照组。","2025-07-14 19:49","https://www.zhihu.com/question/1927742141112738034/answer/1928179260713079053"
"Ryan Hou","hou-yi-zhan","女生出轨外国电竞选手拟遭学校开除，学校的做法合理吗？学校职责的边界在哪里？","https://www.zhihu.com/question/1927742141112738034","这么多人觉得这条规定没错的？一个个优质的韭菜啊。法律赋予你的权利被人随手剥夺还拍手叫好，笑死。 / 他的存在就是错误，我不管他实际上有没有使用，这种一刀切的兜底条款就不应该存在","2025-07-15 00","https://www.zhihu.com/question/1927742141112738034/answer/1927857831400441108"
"iOS","ios-78","大连工业大学在官网发布拟开除学生李欣莳的公告，明确列出其姓名及具体行为，是否侵犯学生隐私？合法吗？","https://www.zhihu.com/question/1927815577105298443","如果女主是你的孩子你会认罪吗？不觉得被开除学籍有点过分了吗？","2025-07-15 00","https://www.zhihu.com/question/1927815577105298443/answer/1927861037773862443"
"老狼请吃鸡","lao-lang-qing-chi-ji-12","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","三流大学的校规是这样的，不知道知乎用户有几个能不被开除。作为对比，放出一份不弱智的校规作为对照组。","2025-07-14 10:27","https://www.zhihu.com/question/1927742141112738034/answer/1927788173687264310"
"LuCkSt","luckst","大连工业大学在官网发布拟开除学生李欣莳的公告，明确列出其姓名及具体行为，是否侵犯学生隐私？合法吗？","https://www.zhihu.com/question/1927815577105298443","这个三观一点都不正，并且很歪，学校今天因为约炮就开除人，明天就会因为左脚进入学校开除你","2025-07-14 16","https://www.zhihu.com/question/1927815577105298443/answer/1927861037773862443"
"马克图不","make-55","乌克兰男子 Zeus 发文道歉，称自己没有结婚也没有恋爱，不知道该女生不是单身，怎样看待他的发声？","https://www.zhihu.com/question/1928005269113239464","你有点歧视女性了吧，性自由是女性的基本权利，而行使自己权利的人被你污名化成easy  girl / easy  girl就是个很明显的贬义词，更是对女性的歧视，而她只是行使自己的正常权利而已 / 如果有男朋友就没有性自由了，那还是性自由吗，只是一个被剥夺了权利的奴隶而已","2025-07-14 16","https://www.zhihu.com/question/1928005269113239464/answer/1928025482206647275"
"bs命","man-bu-dong-ying-wei-fan","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","麦子熟了几千次，性专营写入校规第一次","2025-07-14 22:04","https://www.zhihu.com/question/1927742141112738034/answer/1927911275070985725"
"没病走两步","mei-bing-zou-liang-bu-95","女生出轨外国电竞选手拟遭学校开除，学校的做法合理吗？学校职责的边界在哪里？","https://www.zhihu.com/question/1927742141112738034","学校是不合法 不合理 学校规章制度比法律的优先级还要高吗？  核心就是嫌丢人嘛 丢学校的面子，丢国家的面子，其实你想想，在国际上丢人的只有她一个人吗，想想中国男足，丢人丢姥姥家了，有必要喊打喊杀吗？  法律是最低的道德标准，只要不违法，每个人都应该有性自由吧，只要不违法，她就算和100个人睡，都是个人自由，学校也无权干涉吧！  至于视频照片流传出去，也不是女方流传出去的，在一个层面上，女方也是受害者。举个例子，一个女孩被强攻了，受害者有什么错？  至于对女生的网暴，我不懂？受害者有罪？为什么还要二次加害她？","2025-07-14 09:30","https://www.zhihu.com/question/1927742141112738034/answer/1928023575958384801"
"岁月史书合订本","qpj-39","女生出轨外国电竞选手拟遭学校开除，学校的做法合理吗？学校职责的边界在哪里？","https://www.zhihu.com/question/1927742141112738034","仿佛看到了100年前印度的荣誉谋杀  首先公权力无权入侵私生活。否则是想复刻80年代的流氓罪？按照80年代流氓罪的标准，只怕各位有一半都得枪毙。    其次跟什么国格联系在一起就更搞笑了，国格是贞洁牌坊吗？难道是能通过控制私生活就能控制住国格？  后最核心的问题在于法律。当事人如果真的出轨了，那怎么谴责都不为过，但是他本人既然没有违法，那开除这种可以上升到法律层面的行为也就完全毫无依据  没有一个健康的司法，没有任何人是安全的。今天可以侮辱国格这种荒诞的名义开除这个女生，明天就可以在宿舍里面看黄色视频的名义开除各位男生。  面对行政权力的无限扩张没有什么权利的普通人如果还是忙着战立场互害，而不是互相帮助但最终结果就是只能让公权力越来越肆无忌惮  最后我这里补充一下，到目前为止我去网上找了一圈儿。甚至还没有任何证据表明当事人有男朋友并且出轨了。互联网上全部的信息似乎只有他和那位乌克兰人的亲密视频。甚至仅仅只是有点亲密而已，如果有谁有具体的出轨的证据，麻烦艾特我一下","2025-07-14 09:30","https://www.zhihu.com/question/1927742141112738034/answer/1928216895808607144"
"Realist","realist-8-1","关于大连工业大学李欣莳被开除事件你们怎么看？","https://www.zhihu.com/question/1927799729569396381","对啊单看这一条确实有道理，但是婚前性行为的咋都没见处分呢?校规上写的是只要婚前性行为就处分，可没写要公开传播影响学校等条件[思考] ","2025-07-14 12:42","https://www.zhihu.com/question/1927799729569396381/answer/1928011975612412687"
"荏苒","ren-ran-81-90","大连工业大学开除李欣莳，多家新闻、网红觉得过重，是否真的过重？","https://www.zhihu.com/question/1927805340403110296","开除就开除 国内这种情况 私德闹大了，都会被处理的 但是讲国格就搞笑了。","2025-07-14 19:33","https://www.zhihu.com/question/1927805340403110296/answer/1928175194050127424"
"www虎","wyr-92-16","关于大连工业大学李欣莳被开除事件你们怎么看？","https://www.zhihu.com/question/1927799729569396381","可是前几条校规还有不能婚前性行为呢 学校不能选择执法呀 把每条校规落到实处","2025-07-14 11:54","https://www.zhihu.com/question/1927799729569396381/answer/1928011975612412687"
"孝花天影","xiao-hua-tian-ying","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","同问题我底下回答了一个内容，内容说的是这件事火得很离谱+一个人出轨不能上升到侮辱国格+出轨被全网爆真名有点夸张了，底下好几个男的开始造谣我是ji，评论暗示我当小三，所以害怕被爆真名。说到底就是不看写的内容看见女的就骂她是ji是小三。尤为讽刺。","2025-07-14 03:53","https://www.zhihu.com/question/1927742141112738034/answer/1927938753369978759"
"并不酷syr","yang-nan-57-35","大连工业大学开除李欣莳，多家新闻、网红觉得过重，是否真的过重？","https://www.zhihu.com/question/1927805340403110296","该校校规净是这种条款，你们还叫好呢，看着不害怕吗？  查看图片 / 这大学的逆天校规和没人敢提疑罪从无的法庭，背后是同一个东西，叫官僚主义。官僚主义最喜欢把规则搞烂，好让自己说了算，而普通人想用规则保护自己则根本做不到。 我想这个道理你是知道的，不让你也不会举强奸案的例子，你内心是渴望规则可以公正透明的，对不对？ / 我害怕啊，我一直害怕","2025-07-14 21","https://www.zhihu.com/question/1927805340403110296/answer/1928100772136068767"
"一二三的","zhang-yu-chen-51-41","关于大连工业大学李欣莳被开除事件你们怎么看？","https://www.zhihu.com/question/1927799729569396381","学校是非不分，自己的学生被外籍犯罪嫌疑人侵犯，隐私视频被广泛传播，非但不保护学生，反而落井下石，违法公开受害人信息，违法开除被害学生，造成极其恶劣的影响，十分罪恶的学校。学校用行动摧毁了一个才21岁的年轻人，非常残暴，非常残忍，非常邪恶。大连工业大学可以说是社会阴暗面的一个代表。","2025-07-14 00:03","https://www.zhihu.com/question/1927799729569396381/answer/1927880837757646815"
